"X","genre","loudness"
266,"Dance",-4.027
267,"Dance",-10.96
268,"Dance",-3.707
269,"Dance",-5.861
270,"Dance",-12.077
271,"Dance",-6.107
272,"Dance",-7.482
273,"Dance",-6.611
274,"Dance",-3.825
275,"Dance",-5.018
276,"Dance",-7.727
277,"Dance",-7.055
278,"Dance",-5.469
279,"Dance",-7.411
280,"Dance",-7.651
281,"Dance",-8.238
282,"Dance",-4.491
283,"Dance",-7.229
284,"Dance",-6.55
285,"Dance",-4.63
286,"Dance",-2.218
287,"Dance",-5.979
288,"Dance",-4.973
289,"Dance",-7.001
290,"Dance",-2.293
291,"Dance",-5.562
292,"Dance",-4.486
293,"Dance",-7.667
294,"Dance",-5.898
295,"Dance",-7.397
296,"Dance",-4.799
297,"Dance",-4.859
298,"Dance",-3.873
299,"Dance",-5.406
300,"Dance",-5.64
301,"Dance",-6.122
302,"Dance",-3.714
303,"Dance",-5.693
304,"Dance",-8.363
305,"Dance",-5.421
306,"Dance",-6.471
307,"Dance",-4.689
308,"Dance",-7.472
309,"Dance",-7.273
310,"Dance",-8.364
311,"Dance",-4.328
312,"Dance",-3.641
313,"Dance",-7.34
314,"Dance",-9.546
315,"Dance",-3.719
316,"Dance",-5.862
317,"Dance",-3.424
318,"Dance",-7.019
319,"Dance",-3.111
320,"Dance",-3.187
321,"Dance",-5.414
322,"Dance",-6.781
323,"Dance",-4.499
324,"Dance",-5.864
325,"Dance",-4.863
326,"Dance",-7.498
327,"Dance",-6.238
328,"Dance",-6.216
329,"Dance",-5.845
330,"Dance",-6.509
331,"Dance",-6.055
332,"Dance",-6.197
333,"Dance",-5.658
334,"Dance",-5.728
335,"Dance",-5.253
336,"Dance",-5.242
337,"Dance",-6.156
338,"Dance",-10.943
339,"Dance",-6.463
340,"Dance",-5.119
341,"Dance",-3.524
342,"Dance",-5.797
343,"Dance",-5.246
344,"Dance",-6.625
345,"Dance",-9.252
346,"Dance",-4.89
347,"Dance",-7.518
348,"Dance",-5.476
349,"Dance",-4.973
350,"Dance",-4.821
351,"Dance",-5.326
352,"Dance",-5.407
353,"Dance",-4.897
354,"Dance",-4.417
355,"Dance",-6.035
356,"Dance",-6.075
357,"Dance",-4.061
358,"Dance",-5.547
359,"Dance",-4.792
